Date,外資未平倉,PC ratio
2007/7/2,-6558,94
2007/7/3,-7244,99.37
2007/7/4,-10093,107.74
2007/7/5,-11282,112.52
2007/7/6,-11925,115.57
2007/7/9,-11416,126.99
2007/7/10,-17011,123.67
2007/7/11,-18722,116.71
2007/7/12,-15571,114.09
2007/7/13,-16151,119.84
2007/7/16,-18104,127.62
2007/7/17,-20001,133.12
2007/7/18,-22226,112.92
2007/7/19,-4600,109.17
2007/7/20,-706,115.37
2007/7/23,-5944,113.19
2007/7/24,-6732,120.81
2007/7/25,-12411,116.07
2007/7/26,-17413,111.46
2007/7/27,-25110,92.61
2007/7/30,-23687,82.93
2007/7/31,-15121,84.76
2007/8/1,-16939,86.39
2007/8/2,-13274,79.91
2007/8/3,-10507,81.09
2007/8/6,-12650,82
2007/8/7,-12049,84.76
2007/8/8,-9276,87
2007/8/9,-5761,87.72
2007/8/10,-7784,89.05
2007/8/13,-6371,87.33
2007/8/14,-8745,87.29
2007/8/15,-8594,114.35
2007/8/16,-13133,107.98
2007/8/17,-16719,99.39
2007/8/20,-10686,98.98
2007/8/21,-9290,97.33
2007/8/22,-9070,95.4
2007/8/23,-5911,98.12
2007/8/24,-3630,100.18
2007/8/27,-123,98.42
2007/8/28,688,96.99
2007/8/29,-2529,94.41
2007/8/30,-865,94.17
2007/8/31,820,96.28
2007/9/3,-1112,97.16
2007/9/4,-433,96.53
2007/9/5,-1305,98.17
2007/9/6,-1853,96.14
2007/9/7,-1661,100.9
2007/9/10,-1708,97.96
2007/9/11,-99,98.29
2007/9/12,181,99.61
2007/9/13,1012,101.15
2007/9/14,-638,100.67
2007/9/17,-3643,99.48
2007/9/19,-2308,76.5
2007/9/20,1072,89.15
2007/9/21,405,93.36
2007/9/26,129,94.92
2007/9/27,1326,94.96
2007/9/28,1724,95.63
2007/9/29,1929,93.51
2007/10/1,1470,93.78
2007/10/2,1134,101.35
2007/10/3,72,108.68
2007/10/4,-7014,101.39
2007/10/5,-8280,101.31
2007/10/8,-7961,105.12
2007/10/9,-7863,106.43
2007/10/11,-8220,110.95
2007/10/12,-7013,112.46
2007/10/15,-4467,113.3
2007/10/16,-4755,116.4
2007/10/17,-4330,132.51
2007/10/18,-3226,117.07
2007/10/19,-3035,114.7
2007/10/22,-652,116.24
2007/10/23,267,108.31
2007/10/24,1002,106.6
2007/10/25,1495,103.99
2007/10/26,1158,103.13
2007/10/29,-3639,104.71
2007/10/30,-3811,103.03
2007/10/31,-7947,100.24
2007/11/1,-5800,101.17
2007/11/2,-7387,89.58
2007/11/5,-5313,85.42
2007/11/6,-3962,87.49
2007/11/7,39,91.11
2007/11/8,2276,82.48
2007/11/9,1086,80.31
2007/11/12,2010,74.57
2007/11/13,1692,72.56
2007/11/14,2180,73.17
2007/11/15,2515,73.89
2007/11/16,4282,76.88
2007/11/19,5735,76.94
2007/11/20,7833,73.45
2007/11/21,8489,86.29
2007/11/22,-7471,79.39
2007/11/23,-8238,78.39
2007/11/26,-7004,75.99
2007/11/27,-9035,75.39
2007/11/28,-8885,73.98
2007/11/29,-5657,73.46
2007/11/30,-1816,80.29
2007/12/3,-1874,78.19
2007/12/4,-3719,77.76
2007/12/5,-3971,78.12
2007/12/6,-3340,81.3
2007/12/7,-2808,82.72
2007/12/10,-3947,79.05
2007/12/11,-2712,80.7
2007/12/12,-3508,80.88
2007/12/13,-4224,72.79
2007/12/14,-918,66.93
2007/12/17,2877,62.82
2007/12/18,4573,60.71
2007/12/19,7851,75.46
2007/12/20,2842,66.61
2007/12/21,3556,64.21
2007/12/24,4781,62.37
2007/12/25,4834,62.22
2007/12/26,4777,60.86
2007/12/27,5463,63.76
2007/12/28,5708,61.53
2007/12/31,4659,61.83
2008/1/2,3911,61.85
2008/1/3,2277,56.71
2008/1/4,2893,53.56
2008/1/7,4598,49.8
2008/1/8,7879,48.75
2008/1/9,8134,51.29
2008/1/10,8722,53.09
2008/1/11,5885,49.28
2008/1/14,17477,50.74
2008/1/15,11896,59.98
2008/1/16,3362,52.96
2008/1/17,-4935,54.72
2008/1/18,-3821,60.21
2008/1/21,-2887,58.8
2008/1/22,-8,48.64
2008/1/23,2083,48.05
2008/1/24,4416,46.54
2008/1/25,7773,49.4
2008/1/28,6074,47.23
2008/1/29,4519,47.28
2008/1/30,5477,48.19
2008/1/31,7358,45.95
2008/2/1,9818,51.25
2008/2/12,11311,50.09
2008/2/13,13139,49.96
2008/2/14,15071,53.24
2008/2/15,12675,57.02
2008/2/18,9367,60.55
2008/2/19,8149,64.87
2008/2/20,5950,60.1
2008/2/21,9610,57
2008/2/22,10322,57.84
2008/2/25,10973,59.54
2008/2/26,12105,57.58
2008/2/27,14890,59.62
2008/2/29,12967,60.97
2008/3/3,16053,63.48
2008/3/4,15943,64.33
2008/3/5,13034,67.79
2008/3/6,12931,68.84
2008/3/7,8203,72.26
2008/3/10,4388,70.76
2008/3/11,4029,68.15
2008/3/12,4813,64.86
2008/3/13,5276,66.26
2008/3/14,5671,65.65
2008/3/17,6239,68.04
2008/3/18,3060,63.52
2008/3/19,386,54
2008/3/20,-226,54.94
2008/3/21,-1771,65.67
2008/3/24,-4330,82.94
2008/3/25,-10183,84.49
2008/3/26,-12191,83.79
2008/3/27,-19368,79.48
2008/3/28,-18337,79.19
2008/3/31,-17685,79.23
2008/4/1,-17444,76.76
2008/4/2,-11862,76.94
2008/4/3,-10399,77.27
2008/4/7,-10247,78.47
2008/4/8,-9530,79.99
2008/4/9,-6236,80.4
2008/4/10,-6200,85.14
2008/4/11,-3556,88.58
2008/4/14,-4267,88.09
2008/4/15,-5366,97.31
2008/4/16,-5316,96.14
2008/4/17,-2155,95.73
2008/4/18,-3762,94.08
2008/4/21,-6039,93.35
2008/4/22,-7182,96.78
2008/4/23,-10675,96.26
2008/4/24,-8661,99.02
2008/4/25,-8228,97.03
2008/4/28,-6408,94.45
2008/4/29,-9064,92.89
2008/4/30,-8794,95.01
2008/5/2,-7575,89.61
2008/5/5,-9372,89.21
2008/5/6,-11091,84.16
2008/5/7,-9695,82.98
2008/5/8,-11374,81.79
2008/5/9,-10866,82.12
2008/5/12,-9644,78.64
2008/5/13,-7879,79.21
2008/5/14,-8112,83.06
2008/5/15,-7550,89.27
2008/5/16,-8660,90.89
2008/5/19,-12537,92.23
2008/5/20,-17013,89.09
2008/5/21,-17228,102.77
2008/5/22,-13745,98.94
2008/5/23,-14937,95.88
2008/5/26,-15627,91.36
2008/5/27,-15911,87.86
2008/5/28,-13219,82.68
2008/5/29,-12681,79.6
2008/5/30,-10769,76.93
2008/6/2,-10571,75.07
2008/6/3,-10512,72.58
2008/6/4,-9555,71.47
2008/6/5,-8732,71.93
2008/6/6,-7896,71.94
2008/6/9,-7414,69.17
2008/6/10,-4699,63.24
2008/6/11,-2993,63.81
2008/6/12,-2557,54.74
2008/6/13,825,55.74
2008/6/16,2303,53.99
2008/6/17,1901,52.2
2008/6/18,5224,85.42
2008/6/19,-3289,83.24
2008/6/20,-2292,81.61
2008/6/23,-2945,78.07
2008/6/24,-2313,73.58
2008/6/25,-5454,70.41
2008/6/26,-3745,67.79
2008/6/27,1193,55.77
2008/6/30,-683,53.97
2008/7/1,-3017,49.62
2008/7/2,-5064,44.93
2008/7/3,-4463,43.65
2008/7/4,-2498,42.75
2008/7/7,-1130,44.11
2008/7/8,5420,40.35
2008/7/9,5393,42.95
2008/7/10,6161,42.38
2008/7/11,4309,47.11
2008/7/14,-2921,47.71
2008/7/15,-780,43.48
2008/7/16,1874,42.78
2008/7/17,-2738,41.48
2008/7/18,1568,40.48
2008/7/21,-135,42.21
2008/7/22,-1315,42.22
2008/7/23,-4359,46.9
2008/7/24,-2251,49.37
2008/7/25,-3903,46.65
2008/7/29,-1574,44.82
2008/7/30,-841,45.52
2008/7/31,1985,48.25
2008/8/1,-117,49.65
2008/8/4,7,48.71
2008/8/5,-2594,45.68
2008/8/6,-1815,47.76
2008/8/7,-1739,50.39
2008/8/8,-3155,56.14
2008/8/11,-1489,61.49
2008/8/12,-2151,60.54
2008/8/13,-5319,60.41
2008/8/14,-5854,61.8
2008/8/15,-5608,61.48
2008/8/18,-5081,52.55
2008/8/19,-686,52.05
2008/8/20,583,42.78
2008/8/21,2093,44.47
2008/8/22,1982,45.25
2008/8/25,2001,47.37
2008/8/26,2468,47.33
2008/8/27,770,47.2
2008/8/28,-849,46.31
2008/8/29,-660,45.11
2008/9/1,-1087,45.92
2008/9/2,2727,44.91
2008/9/3,2857,44.65
2008/9/4,1144,39.75
2008/9/5,2969,36.28
2008/9/8,4316,42.88
2008/9/9,7357,41
2008/9/10,2615,39.85
2008/9/11,7213,38.75
2008/9/12,8138,36.89
2008/9/15,11509,33.66
2008/9/16,15294,28.93
2008/9/17,16732,44.26
2008/9/18,3393,42.35
2008/9/19,5063,46.62
2008/9/22,9125,51.94
2008/9/23,5079,56.51
2008/9/24,6392,58.54
2008/9/25,5437,58.07
2008/9/26,7109,54.47
2008/9/30,11920,48.51
2008/10/1,15587,49.13
2008/10/2,17290,48.69
2008/10/3,14544,47.53
2008/10/6,16655,43.43
2008/10/7,16521,42.07
2008/10/8,17996,36.59
2008/10/9,18004,34.32
2008/10/13,19244,29.7
2008/10/14,15555,31.77
